Response,Age,Job,Marital Status,Education,balance,housing,loan
yes,59,retired,married,secondary,49,no,yes
yes,31,services,married,tertiary,90,no,yes
yes,47,management,married,primary,145,no,yes
yes,45,unemployed,divorced,primary,249,yes,yes
yes,36,management,single,tertiary,559,yes,no
yes,48,services,married,primary,583,yes,no
yes,49,technician,divorced,secondary,757,yes,yes
yes,57,retired,married,primary,1480,yes,no
yes,40,technician,married,secondary,34,yes,no
yes,34,unemployed,divorced,tertiary,75,yes,no
yes,34,technician,single,secondary,264,no,no
yes,42,technician,single,secondary,1129,yes,no
yes,44,bluecollar,divorced,primary,119,yes,no
yes,36,bluecollar,married,secondary,2,no,no
yes,55,unemployed,married,secondary,1108,yes,yes
yes,31,bluecollar,single,secondary,575,yes,no
yes,44,management,divorced,tertiary,411,yes,no
yes,30,services,single,secondary,0,no,yes
yes,55,technician,married,secondary,308,no,no
yes,31,technician,single,secondary,25,no,no
yes,27,management,single,tertiary,1414,yes,no
yes,43,management,married,secondary,16,no,no
yes,48,bluecollar,divorced,secondary,535,yes,no
yes,45,admin,married,secondary,1,no,no
yes,40,bluecollar,married,secondary,231,yes,no
yes,55,admin,single,secondary,986,no,yes
yes,32,services,married,secondary,790,yes,no
yes,38,management,married,tertiary,562,yes,no
yes,30,admin,married,secondary,938,yes,no
yes,25,bluecollar,married,primary,589,yes,no
yes,40,selfemployed,married,secondary,754,yes,yes
yes,37,bluecollar,married,secondary,399,yes,yes
yes,31,technician,married,tertiary,859,yes,no
yes,26,bluecollar,single,secondary,36,yes,no
yes,23,bluecollar,single,secondary,207,yes,no
yes,30,bluecollar,married,secondary,18,no,no
yes,28,technician,single,secondary,298,yes,no
yes,55,unknown,married,secondary,208,yes,no
yes,44,unemployed,married,secondary,505,yes,no
yes,45,technician,divorced,unknown,25,no,yes
yes,53,services,divorced,secondary,0,no,yes
yes,31,selfemployed,married,secondary,0,no,yes
yes,43,bluecollar,married,secondary,128,yes,no
yes,33,bluecollar,married,secondary,266,yes,yes
yes,42,services,single,secondary,58,no,no
yes,36,bluecollar,married,secondary,13,no,yes
yes,58,entrepreneur,single,tertiary,6162,no,yes
yes,34,bluecollar,single,secondary,60,no,no
yes,28,bluecollar,single,secondary,0,yes,no
yes,21,bluecollar,single,secondary,59,yes,yes
yes,30,admin,single,secondary,242,no,no
yes,21,bluecollar,married,primary,426,no,no
yes,27,management,single,tertiary,713,yes,no
yes,29,selfemployed,married,tertiary,1083,yes,no
yes,29,bluecollar,married,primary,303,yes,yes
yes,26,bluecollar,married,secondary,82,yes,no
yes,29,admin,divorced,secondary,489,yes,no
yes,35,admin,married,secondary,0,no,yes
yes,53,technician,divorced,secondary,63,no,yes
yes,50,management,married,tertiary,37,no,no
yes,60,entrepreneur,married,unknown,284,yes,yes
yes,45,selfemployed,divorced,tertiary,75,yes,yes
yes,59,management,divorced,tertiary,0,no,no
yes,46,bluecollar,divorced,primary,17,no,yes
yes,42,management,married,tertiary,0,yes,no
yes,54,retired,divorced,secondary,200,no,yes
yes,32,entrepreneur,single,primary,849,yes,yes
yes,37,technician,married,secondary,143,yes,no
yes,30,admin,married,secondary,23,no,yes
yes,34,management,married,tertiary,30,yes,no
yes,32,bluecollar,married,primary,148,yes,no
yes,42,entrepreneur,divorced,tertiary,2,yes,no
yes,55,services,divorced,secondary,1,yes,no
yes,51,admin,single,secondary,2,no,no
yes,29,selfemployed,married,tertiary,0,yes,yes
yes,40,bluecollar,married,primary,11,yes,yes
yes,43,entrepreneur,married,tertiary,250,no,no
yes,37,technician,divorced,secondary,325,yes,yes
yes,53,management,married,tertiary,0,no,yes
yes,47,bluecollar,married,primary,0,no,no
yes,56,housemaid,divorced,primary,1238,no,no
yes,39,bluecollar,divorced,primary,294,yes,no
